Allergen,Food Label,
Ovomucoid,egg,
Ovomucoid,whole_egg_boiled,
Lactose/Histamine,milk,
Lactose,icecream,
Lactose,cheese,
Lactose/Caffeine,milk_based_beverage,
Lactose/Caffeine,chocolate,
Caffeine,non_milk_based_beverage,
Histamine,cooked_meat,
Histamine,raw_meat,
Histamine,alcohol,
Histamine,alcohol_glass,
Histamine,spinach,
Histamine,avocado,
Histamine,eggplant,
Salicylate,blueberry,
Salicylate,blackberry,
Salicylate,strawberry,
Salicylate,pineapple,
Salicylate,capsicum,
Salicylate,mushroom,
Salicylate,dates,
Salicylate,almonds,
Salicylate,pistachios,
Salicylate,tomato,
Gluten,roti,
Gluten,pasta,
Gluten,bread,
Gluten,bread_loaf,
Gluten,pizza,
